book_id,video_id,frame_index,time_sec,instance_id,segment_id,score,x1,y1,x2,y2,shelf_center_x,shelf_x1,shelf_x2,match_cost,quality_score,crop_path,mask_path
000_book_0005,000,0,0.00,4,0,0.7382,286,149,338,578,312.0000,286.0000,338.0000,,0.7642,crops/000000_004.jpg,masks/000000_004.png
000_book_0005,000,1,0.33,4,0,0.7292,295,155,344,582,314.6573,290.1573,339.1573,-0.4600,0.6986,crops/000001_004.jpg,masks/000001_004.png
000_book_0005,000,2,0.67,4,0,0.7419,304,179,349,606,313.0253,290.5253,335.5253,-0.4670,0.7085,crops/000002_004.jpg,masks/000002_004.png
000_book_0005,000,3,1.00,4,0,0.6937,300,197,343,610,312.0475,290.5475,333.5475,-0.3924,0.6927,crops/000003_004.jpg,masks/000003_004.png
000_book_0005,000,4,1.33,4,0,0.6735,300,215,339,610,313.9823,294.4823,333.4823,-0.2933,0.6767,crops/000004_004.jpg,masks/000004_004.png
000_book_0005,000,5,1.67,4,0,0.7012,299,209,337,610,312.6329,293.6329,331.6329,-0.3920,0.7051,crops/000005_004.jpg,masks/000005_004.png
000_book_0005,000,6,2.00,4,0,0.7558,310,190,348,610,309.8043,290.8043,328.8043,-0.3528,0.7260,crops/000006_004.jpg,masks/000006_004.png
000_book_0005,000,7,2.33,5,0,0.7988,331,153,372,597,314.9250,294.4250,335.4250,-0.2969,0.6353,crops/000007_005.jpg,masks/000007_005.png
000_book_0005,000,8,2.67,5,0,0.8146,339,169,381,610,313.2767,292.2767,334.2767,-0.4197,0.6421,crops/000008_005.jpg,masks/000008_005.png
000_book_0005,000,9,3.00,5,0,0.7845,348,192,389,610,319.0686,298.5686,339.5686,-0.2619,0.7153,crops/000009_005.jpg,masks/000009_005.png
000_book_0005,000,10,3.33,5,0,0.8132,318,162,360,597,321.5572,300.5572,342.5572,-0.2923,0.6405,crops/000010_005.jpg,masks/000010_005.png
000_book_0005,000,11,3.67,5,0,0.7756,262,171,306,598,325.9948,303.9948,347.9948,-0.2812,0.6089,crops/000011_005.jpg,masks/000011_005.png
000_book_0005,000,12,4.00,3,0,0.7543,159,168,213,594,321.7496,294.7496,348.7496,-0.3407,0.5711,crops/000012_003.jpg,masks/000012_003.png
000_book_0006,000,0,0.00,5,0,0.8109,302,148,355,576,328.5000,302.0000,355.0000,,0.7670,crops/000000_005.jpg,masks/000000_005.png
000_book_0006,000,1,0.33,5,0,0.8085,311,155,360,580,330.6573,306.1573,355.1573,-0.4775,0.7034,crops/000001_005.jpg,masks/000001_005.png
000_book_0006,000,2,0.67,5,0,0.8319,319,179,367,606,329.5253,305.5253,353.5253,-0.5193,0.7164,crops/000002_005.jpg,masks/000002_005.png
000_book_0006,000,3,1.00,5,0,0.7948,316,196,361,610,329.0475,306.5475,351.5475,-0.4172,0.7059,crops/000003_005.jpg,masks/000003_005.png
000_book_0006,000,4,1.33,5,0,0.7818,315,215,357,610,330.4823,309.4823,351.4823,-0.3285,0.6944,crops/000004_005.jpg,masks/000004_005.png
000_book_0006,000,5,1.67,5,0,0.7805,314,209,357,610,330.1329,308.6329,351.6329,-0.4506,0.7144,crops/000005_005.jpg,masks/000005_005.png
000_book_0006,000,6,2.00,5,0,0.8157,325,190,367,610,326.8043,305.8043,347.8043,-0.3850,0.7260,crops/000006_005.jpg,masks/000006_005.png
000_book_0007,000,0,0.00,6,0,0.8540,331,184,388,563,359.5000,331.0000,388.0000,,0.7125,crops/000000_006.jpg,masks/000000_006.png
000_book_0007,000,1,0.33,6,0,0.8801,339,190,393,568,361.1573,334.1573,388.1573,-0.5075,0.6748,crops/000001_006.jpg,masks/000001_006.png
000_book_0007,000,2,0.67,6,0,0.8526,347,214,399,593,359.5253,333.5253,385.5253,-0.5078,0.6634,crops/000002_006.jpg,masks/000002_006.png
000_book_0007,000,3,1.00,6,0,0.8737,343,231,394,610,359.0475,333.5475,384.5475,-0.4931,0.6691,crops/000003_006.jpg,masks/000003_006.png
000_book_0007,000,4,1.33,6,0,0.8438,342,250,390,610,360.4823,336.4823,384.4823,-0.4024,0.6449,crops/000004_006.jpg,masks/000004_006.png
000_book_0007,000,5,1.67,6,0,0.8529,342,244,388,610,359.6329,336.6329,382.6329,-0.4094,0.6404,crops/000005_006.jpg,masks/000005_006.png
000_book_0007,000,6,2.00,6,0,0.8729,352,226,399,610,356.3043,332.8043,379.8043,-0.3601,0.6558,crops/000006_006.jpg,masks/000006_006.png
000_book_0007,000,7,2.33,6,0,0.8535,359,191,407,586,346.4250,322.4250,370.4250,-0.0877,0.6172,crops/000007_006.jpg,masks/000007_006.png
000_book_0007,000,8,2.67,6,0,0.8529,367,206,416,604,344.7767,320.2767,369.2767,-0.1907,0.6045,crops/000008_006.jpg,masks/000008_006.png
000_book_0007,000,9,3.00,6,0,0.8612,376,227,422,610,349.5686,326.5686,372.5686,-0.3763,0.6657,crops/000009_006.jpg,masks/000009_006.png
000_book_0007,000,10,3.33,6,0,0.8515,346,199,393,585,352.0572,328.5572,375.5572,-0.3240,0.6069,crops/000010_006.jpg,masks/000010_006.png
000_book_0007,000,11,3.67,6,0,0.8533,291,207,340,585,357.4948,332.9948,381.9948,-0.2748,0.5894,crops/000011_006.jpg,masks/000011_006.png
000_book_0007,000,12,4.00,4,0,0.8274,192,203,250,581,356.7496,327.7496,385.7496,-0.3011,0.5584,crops/000012_004.jpg,masks/000012_004.png
000_book_0008,000,0,0.00,7,0,0.6907,367,232,408,558,387.5000,367.0000,408.0000,,0.5937,crops/000000_007.jpg,masks/000000_007.png
000_book_0008,000,1,0.33,7,0,0.7129,374,237,414,563,389.1573,369.1573,409.1573,-0.4915,0.5647,crops/000001_007.jpg,masks/000001_007.png
000_book_0008,000,2,0.67,7,0,0.7163,382,261,419,589,387.0253,368.5253,405.5253,-0.4637,0.5594,crops/000002_007.jpg,masks/000002_007.png
000_book_0008,000,3,1.00,7,0,0.7181,379,278,415,610,387.5475,369.5475,405.5475,-0.4575,0.5682,crops/000003_007.jpg,masks/000003_007.png
000_book_0008,000,4,1.33,7,0,0.7449,377,296,411,610,388.4823,371.4823,405.4823,-0.4065,0.5820,crops/000004_007.jpg,masks/000004_007.png
000_book_0008,000,5,1.67,7,0,0.7109,376,291,409,610,387.1329,370.6329,403.6329,-0.4160,0.5617,crops/000005_007.jpg,masks/000005_007.png
000_book_0008,000,6,2.00,7,0,0.7263,387,274,420,607,384.3043,367.8043,400.8043,-0.3264,0.5756,crops/000006_007.jpg,masks/000006_007.png
000_book_0008,000,7,2.33,7,0,0.7360,394,240,428,582,374.4250,357.4250,391.4250,-0.0343,0.5443,crops/000007_007.jpg,masks/000007_007.png
000_book_0008,000,8,2.67,7,0,0.7039,403,257,437,599,373.2767,356.2767,390.2767,-0.1386,0.5189,crops/000008_007.jpg,masks/000008_007.png
000_book_0008,000,9,3.00,7,0,0.7493,412,277,443,610,378.0686,362.5686,393.5686,-0.3204,0.6074,crops/000009_007.jpg,masks/000009_007.png
000_book_0008,000,10,3.33,7,0,0.7095,382,249,412,582,379.5572,364.5572,394.5572,-0.2624,0.5240,crops/000010_007.jpg,masks/000010_007.png
000_book_0008,000,11,3.67,7,0,0.7111,326,255,359,583,384.4948,367.9948,400.9948,-0.2407,0.5045,crops/000011_007.jpg,masks/000011_007.png
000_book_0008,000,12,4.00,5,0,0.6903,229,251,268,577,384.2496,364.7496,403.7496,-0.2166,0.4675,crops/000012_005.jpg,masks/000012_005.png
000_book_0008,000,13,4.33,1,0,0.6828,128,230,169,564,377.1770,356.6770,397.6770,-0.2534,0.0486,crops/000013_001.jpg,masks/000013_001.png
000_book_0009,000,0,0.00,8,0,0.8824,385,182,431,566,408.0000,385.0000,431.0000,,0.7316,crops/000000_008.jpg,masks/000000_008.png
000_book_0009,000,1,0.33,8,0,0.8734,393,187,436,571,409.6573,388.1573,431.1573,-0.4939,0.6718,crops/000001_008.jpg,masks/000001_008.png
000_book_0009,000,2,0.67,8,0,0.8689,401,211,442,596,408.0253,387.5253,428.5253,-0.4968,0.6684,crops/000002_008.jpg,masks/000002_008.png
000_book_0009,000,3,1.00,8,0,0.8769,398,229,437,610,408.0475,388.5475,427.5475,-0.4538,0.6687,crops/000003_008.jpg,masks/000003_008.png
000_book_0009,000,4,1.33,8,0,0.8678,396,247,432,610,408.4823,390.4823,426.4823,-0.3723,0.6620,crops/000004_008.jpg,masks/000004_008.png
000_book_0009,000,5,1.67,8,0,0.8690,395,241,431,610,407.6329,389.6329,425.6329,-0.4260,0.6548,crops/000005_008.jpg,masks/000005_008.png
000_book_0009,000,6,2.00,8,0,0.8765,406,224,443,610,405.3043,386.8043,423.8043,-0.3907,0.6813,crops/000006_008.jpg,masks/000006_008.png
000_book_0009,000,7,2.33,8,0,0.8695,414,189,451,590,395.9250,377.4250,414.4250,-0.0614,0.6063,crops/000007_008.jpg,masks/000007_008.png
000_book_0009,000,8,2.67,8,0,0.8751,422,204,460,606,394.2767,375.2767,413.2767,-0.1707,0.6028,crops/000008_008.jpg,masks/000008_008.png
000_book_0009,000,9,3.00,8,0,0.8719,431,227,465,610,398.5686,381.5686,415.5686,-0.3550,0.6735,crops/000009_008.jpg,masks/000009_008.png
000_book_0009,000,10,3.33,8,0,0.8621,400,198,436,590,400.5572,382.5572,418.5572,-0.3389,0.5998,crops/000010_008.jpg,masks/000010_008.png
000_book_0009,000,11,3.67,8,0,0.8751,344,206,382,591,404.9948,385.9948,423.9948,-0.2767,0.5890,crops/000011_008.jpg,masks/000011_008.png
000_book_0009,000,12,4.00,6,0,0.8394,245,203,291,587,403.7496,380.7496,426.7496,-0.3202,0.5473,crops/000012_006.jpg,masks/000012_006.png
000_book_0009,000,13,4.33,2,0,0.8521,135,179,193,573,392.6770,363.6770,421.6770,-0.1094,0.1524,crops/000013_002.jpg,masks/000013_002.png
000_book_0010,000,0,0.00,9,0,0.8326,411,220,455,562,433.0000,411.0000,455.0000,,0.7472,crops/000000_009.jpg,masks/000000_009.png
000_book_0010,000,1,0.33,9,0,0.8500,419,225,460,566,434.6573,414.1573,455.1573,-0.4852,0.6969,crops/000001_009.jpg,masks/000001_009.png
000_book_0010,000,2,0.67,9,0,0.8105,427,249,466,592,433.0253,413.5253,452.5253,-0.4865,0.6655,crops/000002_009.jpg,masks/000002_009.png
000_book_0010,000,3,1.00,9,0,0.8439,423,267,461,610,432.5475,413.5475,451.5475,-0.4809,0.6708,crops/000003_009.jpg,masks/000003_009.png
000_book_0010,000,4,1.33,9,0,0.8231,421,284,457,610,433.4823,415.4823,451.4823,-0.4008,0.6670,crops/000004_009.jpg,masks/000004_009.png
000_book_0010,000,5,1.67,9,0,0.8215,421,279,456,610,433.1329,415.6329,450.6329,-0.4158,0.6561,crops/000005_009.jpg,masks/000005_009.png
000_book_0010,000,6,2.00,9,0,0.8017,431,261,467,610,429.8043,411.8043,447.8043,-0.3502,0.6681,crops/000006_009.jpg,masks/000006_009.png
000_book_0010,000,7,2.33,9,0,0.8420,441,229,476,585,421.9250,404.4250,439.4250,-0.0881,0.5931,crops/000007_009.jpg,masks/000007_009.png
000_book_0010,000,8,2.67,9,0,0.8423,448,244,484,603,419.2767,401.2767,437.2767,-0.1853,0.5815,crops/000008_009.jpg,masks/000008_009.png
000_book_0010,000,9,3.00,9,0,0.8485,456,265,489,610,423.0686,406.5686,439.5686,-0.4179,0.6704,crops/000009_009.jpg,masks/000009_009.png
000_book_0010,000,10,3.33,9,0,0.8209,426,237,460,586,425.5572,408.5572,442.5572,-0.3566,0.5890,crops/000010_009.jpg,masks/000010_009.png
000_book_0010,000,11,3.67,9,0,0.8434,370,244,405,587,429.4948,411.9948,446.9948,-0.2756,0.5706,crops/000011_009.jpg,masks/000011_009.png
000_book_0010,000,12,4.00,7,0,0.8564,273,241,315,582,429.7496,408.7496,450.7496,-0.3049,0.5402,crops/000012_007.jpg,masks/000012_007.png
000_book_0010,000,13,4.33,3,0,0.8412,166,219,216,568,419.6770,394.6770,444.6770,-0.1936,0.5493,crops/000013_003.jpg,masks/000013_003.png
000_book_0011,000,0,0.00,10,0,0.7338,439,233,477,563,458.0000,439.0000,477.0000,,0.7171,crops/000000_010.jpg,masks/000000_010.png
000_book_0011,000,1,0.33,10,0,0.7535,446,238,482,569,459.1573,441.1573,477.1573,-0.5044,0.6664,crops/000001_010.jpg,masks/000001_010.png
000_book_0011,000,2,0.67,10,0,0.7771,454,262,488,594,457.5253,440.5253,474.5253,-0.4802,0.6453,crops/000002_010.jpg,masks/000002_010.png
000_book_0011,000,3,1.00,10,0,0.7517,450,279,483,610,457.0475,440.5475,473.5475,-0.4541,0.6492,crops/000003_010.jpg,masks/000003_010.png
000_book_0011,000,4,1.33,10,0,0.7440,448,297,479,610,457.9823,442.4823,473.4823,-0.3713,0.6595,crops/000004_010.jpg,masks/000004_010.png
000_book_0011,000,5,1.67,10,0,0.7275,447,292,477,610,456.6329,441.6329,471.6329,-0.3992,0.6457,crops/000005_010.jpg,masks/000005_010.png
000_book_0011,000,6,2.00,10,0,0.7548,458,275,489,610,454.3043,438.8043,469.8043,-0.3344,0.6511,crops/000006_010.jpg,masks/000006_010.png
000_book_0011,000,7,2.33,10,0,0.7646,468,241,499,587,446.9250,431.4250,462.4250,-0.0783,0.5885,crops/000007_010.jpg,masks/000007_010.png
000_book_0011,000,8,2.67,10,0,0.7676,476,258,507,607,444.7767,429.2767,460.2767,-0.1749,0.5911,crops/000008_010.jpg,masks/000008_010.png
000_book_0011,000,9,3.00,10,0,0.7238,484,281,512,610,448.5686,434.5686,462.5686,-0.3646,0.6564,crops/000009_010.jpg,masks/000009_010.png
000_book_0011,000,10,3.33,10,0,0.7171,454,253,481,589,450.0572,436.5572,463.5572,-0.3175,0.5734,crops/000010_010.jpg,masks/000010_010.png
000_book_0011,000,11,3.67,10,0,0.6836,398,261,426,590,453.9948,439.9948,467.9948,-0.2955,0.5448,crops/000011_010.jpg,masks/000011_010.png
000_book_0011,000,12,4.00,8,0,0.5966,302,258,334,586,453.7496,437.7496,469.7496,-0.3097,0.4662,crops/000012_008.jpg,masks/000012_008.png
000_book_0011,000,13,4.33,4,0,0.5266,195,234,234,571,443.1770,423.6770,462.6770,-0.0898,0.4514,crops/000013_004.jpg,masks/000013_004.png
000_book_0012,000,14,4.67,2,0,0.5076,128,289,162,564,464.5334,447.5334,481.5334,,0.0054,crops/000014_002.jpg,masks/000014_002.png
000_book_0013,000,0,0.00,11,0,0.9163,451,149,501,576,476.0000,451.0000,501.0000,,0.8399,crops/000000_011.jpg,masks/000000_011.png
000_book_0013,000,1,0.33,11,0,0.9072,459,155,505,581,477.1573,454.1573,500.1573,-0.4973,0.7719,crops/000001_011.jpg,masks/000001_011.png
000_book_0013,000,2,0.67,11,0,0.9139,467,179,512,606,476.0253,453.5253,498.5253,-0.5176,0.7587,crops/000002_011.jpg,masks/000002_011.png
000_book_0013,000,3,1.00,11,0,0.9074,464,196,506,610,475.5475,454.5475,496.5475,-0.4140,0.7722,crops/000003_011.jpg,masks/000003_011.png
000_book_0013,000,4,1.33,11,0,0.8981,462,215,502,610,476.4823,456.4823,496.4823,-0.3432,0.7760,crops/000004_011.jpg,masks/000004_011.png
000_book_0013,000,5,1.67,11,0,0.9090,461,210,500,610,475.1329,455.6329,494.6329,-0.4395,0.7847,crops/000005_011.jpg,masks/000005_011.png
000_book_0013,000,6,2.00,11,0,0.9061,473,191,512,610,473.3043,453.8043,492.8043,-0.3878,0.7880,crops/000006_011.jpg,masks/000006_011.png
000_book_0013,000,7,2.33,11,0,0.9124,483,155,523,600,466.4250,446.4250,486.4250,-0.1288,0.7032,crops/000007_011.jpg,masks/000007_011.png
000_book_0013,000,8,2.67,11,0,0.9072,490,171,531,610,463.7767,443.2767,484.2767,-0.2111,0.6860,crops/000008_011.jpg,masks/000008_011.png
000_book_0013,000,9,3.00,11,0,0.9007,498,196,535,610,467.0686,448.5686,485.5686,-0.4097,0.8052,crops/000009_011.jpg,masks/000009_011.png
000_book_0013,000,10,3.33,11,0,0.9027,466,167,505,602,468.0572,448.5572,487.5572,-0.4807,0.6853,crops/000010_011.jpg,masks/000010_011.png
000_book_0013,000,11,3.67,11,0,0.9017,409,176,450,603,471.4948,450.9948,491.9948,-0.3593,0.6655,crops/000011_011.jpg,masks/000011_011.png
000_book_0013,000,12,4.00,9,0,0.9005,309,173,358,600,469.2496,444.7496,493.7496,-0.3628,0.6028,crops/000012_009.jpg,masks/000012_009.png
000_book_0013,000,13,4.33,5,0,0.8986,198,149,259,586,457.1770,426.6770,487.6770,-0.0742,0.6230,crops/000013_005.jpg,masks/000013_005.png
000_book_0013,000,14,4.67,1,0,0.7502,128,116,188,564,477.5334,447.5334,507.5334,-0.1542,0.2036,crops/000014_001.jpg,masks/000014_001.png
000_book_0014,000,0,0.00,12,0,0.8943,476,148,526,576,501.0000,476.0000,526.0000,,0.8804,crops/000000_012.jpg,masks/000000_012.png
000_book_0014,000,1,0.33,12,0,0.9002,483,155,530,581,501.6573,478.1573,525.1573,-0.5180,0.7928,crops/000001_012.jpg,masks/000001_012.png
000_book_0014,000,2,0.67,12,0,0.9010,492,179,537,606,501.0253,478.5253,523.5253,-0.5118,0.7743,crops/000002_012.jpg,masks/000002_012.png
000_book_0014,000,3,1.00,12,0,0.8893,489,197,531,610,500.5475,479.5475,521.5475,-0.4132,0.7701,crops/000003_012.jpg,masks/000003_012.png
000_book_0014,000,4,1.33,12,0,0.8849,486,216,526,610,500.4823,480.4823,520.4823,-0.3313,0.7566,crops/000004_012.jpg,masks/000004_012.png
000_book_0014,000,5,1.67,12,0,0.8997,486,211,525,610,500.1329,480.6329,519.6329,-0.4431,0.7744,crops/000005_012.jpg,masks/000005_012.png
000_book_0014,000,6,2.00,12,0,0.8911,497,192,538,610,498.3043,477.8043,518.8043,-0.4181,0.7843,crops/000006_012.jpg,masks/000006_012.png
000_book_0014,000,7,2.33,12,0,0.8898,509,155,549,600,492.4250,472.4250,512.4250,-0.1628,0.6917,crops/000007_012.jpg,masks/000007_012.png
000_book_0014,000,8,2.67,12,0,0.8870,516,172,557,610,489.7767,469.2767,510.2767,-0.2531,0.6944,crops/000008_012.jpg,masks/000008_012.png
000_book_0014,000,9,3.00,12,0,0.8875,524,196,561,610,493.0686,474.5686,511.5686,-0.4073,0.7845,crops/000009_012.jpg,masks/000009_012.png
000_book_0014,000,10,3.33,12,0,0.8904,492,167,531,603,494.0572,474.5572,513.5572,-0.4776,0.6742,crops/000010_012.jpg,masks/000010_012.png
000_book_0014,000,11,3.67,12,0,0.8859,434,177,475,604,496.4948,475.9948,516.9948,-0.3897,0.6705,crops/000011_012.jpg,masks/000011_012.png
000_book_0014,000,12,4.00,10,0,0.8870,334,174,383,600,494.2496,469.7496,518.7496,-0.3735,0.6257,crops/000012_010.jpg,masks/000012_010.png
000_book_0014,000,13,4.33,6,0,0.8832,224,151,286,587,483.6770,452.6770,514.6770,-0.0994,0.6615,crops/000013_006.jpg,masks/000013_006.png
000_book_0014,000,14,4.67,3,0,0.8410,149,165,219,562,503.5334,468.5334,538.5334,0.0178,0.6729,crops/000014_003.jpg,masks/000014_003.png
000_book_0015,000,0,0.00,13,0,0.8240,505,194,552,573,528.5000,505.0000,552.0000,,0.8579,crops/000000_013.jpg,masks/000000_013.png
000_book_0015,000,1,0.33,13,0,0.8613,513,199,557,577,530.1573,508.1573,552.1573,-0.4973,0.8338,crops/000001_013.jpg,masks/000001_013.png
000_book_0015,000,2,0.67,13,0,0.8833,521,223,564,603,529.0253,507.5253,550.5253,-0.5291,0.8443,crops/000002_013.jpg,masks/000002_013.png
000_book_0015,000,3,1.00,13,0,0.8171,517,241,558,610,528.0475,507.5475,548.5475,-0.4393,0.8376,crops/000003_013.jpg,masks/000003_013.png
000_book_0015,000,4,1.33,13,0,0.8702,515,259,556,610,529.9823,509.4823,550.4823,-0.3926,0.8363,crops/000004_013.jpg,masks/000004_013.png
000_book_0015,000,5,1.67,13,0,0.8818,514,254,554,610,528.6329,508.6329,548.6329,-0.4446,0.8519,crops/000005_013.jpg,masks/000005_013.png
000_book_0015,000,6,2.00,13,0,0.8403,526,236,565,610,526.3043,506.8043,545.8043,-0.4064,0.8435,crops/000006_013.jpg,masks/000006_013.png
000_book_0015,000,7,2.33,13,0,0.8896,537,202,577,597,520.4250,500.4250,540.4250,-0.1560,0.7248,crops/000007_013.jpg,masks/000007_013.png
000_book_0015,000,8,2.67,13,0,0.8858,545,219,585,610,518.2767,498.2767,538.2767,-0.2586,0.7575,crops/000008_013.jpg,masks/000008_013.png
000_book_0015,000,9,3.00,13,0,0.8864,552,243,588,610,520.5686,502.5686,538.5686,-0.3897,0.8472,crops/000009_013.jpg,masks/000009_013.png
